Investor name:,VC fund or Angel Syndicate name:,Investment verticals:,Check size range:,Preferred start-up stage:,Do you lead rounds?,# of cold outreach investments made:,Geography,Additional notes for founders:
Jan Bromberger,DVC and also EUROPE+EARLY,"Agritech,AI/ML,B2B,B2C,BioTech,Consumer,E-commerce,Deep tech,Digital Health,Enterprise Software,Fintech,Generalist,SaaS,Transport,InsurTech,Legaltech,Marketplace","$80k-$250k, more in later rounds","Pre-seed,Seed,Series A,Series B,Series C","No,I help founders find leads.",😬,"LatAm, North America, Europe, India","We are a large syndicate with seven ex-founder GPs, looking to support founders and getting more people access to startup investing. Our LPs are also mostly founders & startup operators."
Gil X. Hernandez,Earnest Capital,"AI/ML,E-commerce,DTC,Consumer,Fintech,Future of Work & Productivity,B2B,SaaS",$100K - $200K,"Idea/first check,Pre-seed,Seed",,,,No hardware
Nika Duan,Emerson Collective,"Aerospace,B2B,B2C,BioTech,MedTech & Healthcare,CleanTech,Digital Health,Edtech,FemTech,Fintech,Future of Work & Productivity,Legaltech,Marketplace,Media,Mental Health,SaaS,Social Impact,Transport",$100K - 100M,"Pre-seed,Seed,Series A,Series B,Series C,Taking it to IPO! 🎉",Yes,,,
Avi Rao,Emerson Collective,"Aerospace,All deep tech!,AI/ML,CleanTech,Foodtech,Hard Tech & Manufacturing,Supply Chain,Materials,Renewable Energy,Sustainable Materials,Transport",$5 - $25M,"Series B,Series C,Series A,Taking it to IPO! 🎉",Most likely not but we do in select cases,,San Francisco,
Chelsea Zhang,Equal Ventures,"B2B,CleanTech,Digital Health,E-commerce,Enterprise Software,InsurTech,Marketplace,Retail Tech,SaaS,Supply Chain,Transport",$1-1.5M,Seed,"Yes,but equally happy to co-invest alongside qualified leads",,,
Khaled Badr-El-Din,Escondido Ventures ,"Industry Agnostic,Aerospace,Agritech,AI/ML,B2B,BioTech,Cybersecurity,E-commerce,Fintech,Gaming,Generalist,Supply Chain,SaaS,MedTech & Healthcare",$100K-$1M+,"Seed,Series A,Series B","No,co-lead,but equally happy to co-invest alongside qualified leads",,Global,
Adeola Fadeyi,Evvolve & Partners,Generalist,>=$50K,"Idea/first check,Seed,Series A,Pre-seed,Series B,Series C",I help founders find leads.,,,I'm a venture scout at Evvolve and Partners. I'd be happy to make a referral to Evvolve once I see a fit.
Nikita Ryauzov,ExpoCapital Fund,"AI/ML,B2B,B2C,Digital Health,E-commerce,InsurTech,Edtech,SaaS,Retail Tech",100 000 USD - 1 000 000 USD,"Seed,Series A,Series B,Series C,Taking it to IPO! 🎉","No,but equally happy to co-invest alongside qualified leads",,,
Nisha Rangarajan,F-Prime Capital,"AI/ML,B2B,Blockchain & Crypto,Enterprise Software,Future of Work & Productivity,Fintech,Generalist,No code,Real Estate & Hospitality",varies,"Seed,Series A,Series B",Yes,,,
Mike MacCombie,ff Venture Capital,"Adtech,Aerospace,Agritech,AI/ML,B2B,B2C,Beauty,Wellness,BioTech,MedTech & Healthcare,Blockchain & Crypto,CleanTech,Cybersecurity,Digital Health,E-commerce,DTC,Consumer,Edtech,Enterprise Software,FemTech,Fintech,Foodtech,Future of Work & Productivity,Gaming,Growthtech,Hard Tech & Manufacturing,InsurTech,Legaltech,Marketplace,Media,Mental Health,No Code focus,Real Estate & Hospitality,Renewable Energy,Sustainable Materials,SaaS,Social Impact,Transport",$25K - $800K,"Idea/first check,Pre-seed,Seed,Series A",Yes,3,,
Ryan Falvey,Financial Venture Studio,"Fintech,B2B,B2C,Blockchain & Crypto,InsurTech,Real Estate & Hospitality","$100,000 - $200,000 initial checks (up to $1m total)","Pre-seed,Idea/first check,Seed","No,I help founders find leads.,Accelerator",~20% of the portfolio,,
Teddy Blank,First Star Ventures,"Aerospace,Agritech,AI/ML,B2B,BioTech,MedTech & Healthcare,Blockchain & Crypto,CleanTech,Cybersecurity,Enterprise Software,Fintech,Foodtech,Future of Work & Productivity,Gaming,Hard Tech & Manufacturing,InsurTech,Real Estate & Hospitality,SaaS,Transport,All deep tech!",$200K - $1M,"Idea/first check,Pre-seed,Seed",,,,We invest in founders using data and new ways of computing to make the world better/faster/smarter/healthier/safer. We focus on companies that have a novel technological innovation and/or proprietary data/access at the core of the company.
Drew Volpe,First Star Ventures,"Agritech,AI/ML,All deep tech!,Deep tech,Love crazy ideas,Renewable Energy,CleanTech,BioTech",200k-1m,"Idea/first check,Pre-seed",Yes,5,US and Canada,Love technical founders changing the world with computing.
Sergey Gribov,Flint Capital,"AI/ML,B2B,B2C,Cybersecurity,Digital Health,Fintech,SaaS",$500K-$4M,"Series A,Seed",Yes,,,
Elena Gantvarg,Flint Capital,"AI/ML,All deep tech!,B2B,B2C,AR/VR,Cybersecurity,Digital Health,Digital health,Beauty & wellness,Wellness,Edtech,Enterprise Software,Fintech,Industry Agnostic,etc.",$500K-$5M,"Seed,Series A",Yes,,,
Eric Ramos,Florida Funders,"Adtech,AI/ML,AR/VR,B2B,Cybersecurity,Digital health,Enterprise Software,Fintech,Future of Work & Productivity,Gaming,Generalist,InsurTech,Legal Tech,Love crazy ideas,Marketplace,Martech,No code,SaaS,Retail Tech,We work with people without college degrees! Let me know if you have one or not :)",$250K - $1M,"Seed,Series A","We lead rounds where we feel we are the best partner at the table and can add the most value to the company,Yes,or follow depending on the stage of the company",3,,"Even if you’re not raising right now, I’d love to meet or speak with founders. "
Christina Zerka,Forum Ventures,"SaaS,B2B,AI/ML,All deep tech!,CleanTech,Cybersecurity,Digital health,E-commerce,Edtech,Enterprise Software,Fintech,Marketplace,Supply Chain,We work with people without college degrees! Let me know if you have one or not :)",50 - 100k ,"Idea/first check,Pre-seed",Most likely not but we do in select cases,90,North America & Europe,
Oren Kozlowski,Founders Factory ,"Beauty,Wellness,Digital Health,E-commerce,DTC,Consumer,FemTech,Mental Health",$100K,"Idea/first check,Pre-seed,Seed",Yes,,,
Siran Cao,FourSight Capital Partners,FemTech,$100K - $300K,"Idea/first check,Pre-seed,Seed",Yes,1,,Focused on women’s health and wealth 
Helena Cavell,Frontline Ventures,"Adtech,Aerospace,AI/ML,B2B,Edtech,Enterprise Software,FemTech,Fintech,Future of Work & Productivity,InsurTech,Marketplace,Media,Real Estate & Hospitality,SaaS",$100K - $1M,"Idea/first check,Pre-seed,Seed",,,,
Mark Pearson,Fuel Ventures,"Adtech,AI/ML,AR/VR,B2B,B2C,Beauty,Beauty & wellness,CleanTech,Consumer,Cybersecurity,Digital Health,Digital health,DTC,E-commerce,Edtech,Enterprise Software,Fintech,Wellness,We work with people without college degrees! Let me know if you have one or not :),SaaS,Retail Tech,Marketplace,FemTech,Gaming,InsurTech,Generalist,No code,Legal Tech,Industry Agnostic,Martech",£150 to £5m Pre-seed to A stage,"Pre-seed,Seed,Series A,Idea/first check",Yes,30,UK & Europe ,Submit here https://fuel.ventures/contact/entrepreneur-application/
RLC Ventures,Fund,"B2B,Gaming,AI/ML,Blockchain & Crypto,AR/VR,Consumer,SaaS,InsurTech,No code,No Code focus,Generalist,Fintech",$100-200k ,"Pre-seed,Idea/first check",Yes,5,UK Only,We can only invest in UK companies. SEIS preferred!
Zane Khatib,FUSE VC,"AI/ML,B2B,Enterprise Software,InsurTech,Legaltech,Supply Chain,SaaS","$500,000 - $10,000,000","Pre-seed,Seed,Series A",Yes,6,Pacific Northwest (Seattle),
Olivia Hipkins,Gaia Global Funds,"Agritech,Blockchain & Crypto,CleanTech,FemTech,BioTech,Renewable Energy,Sustainable Materials,Transport,Supply Chain","300,000 - 3,000,000","Seed,Series A,Series B","Yes,No,but equally happy to co-invest alongside qualified leads",2,"North America focus for now, plan to expand for Fund II","All investments are ESG-oriented - looking for innovative thinking to solve big challenges (climate change, increased regulation/transparency, decentralized finance, etc.).  I also consult for companies seeking to go to private markets, even if they don't fit our mandate."
Elena Mazhuha,Genesis Investments,"AI/ML,Gaming,Edtech,Mental Health,MedTech & Healthcare,Martech,B2B,Enterprise Software,Future of Work & Productivity,Generalist","$100,000-$1,000,000","Seed,Series A",Yes,,,"Founders from Eastern Europe, CEE, Baltic & Nordic countries preferred"
Melih Efeoğlu,Geometry Venture Development,"SaaS,Cybersecurity,Fintech,Deep tech,Gaming,Foodtech,Agritech,B2B,B2C,Beauty & wellness,Blockchain & Crypto,FemTech,MedTech & Healthcare",$20K,"Seed,Pre-seed","Both,Yes",,"Turkey, Europe, USA",Invests $20K in early-stage technology startups. Facilitates the process of angel investing by providing low-risk investment opportunities. https://geometryventure.dev/en/
Melih Efeoğlu ,Geometry Venture Development ,"Agritech,B2B,B2C,Beauty & wellness,Blockchain & Crypto,BioTech,Cybersecurity,Deep tech,Gaming,MedTech & Healthcare,SaaS,FemTech,Fintech",$20K - $50K,"Pre-seed,Seed","Yes,Both",,"Turkey, USA, Europe",Rolling Fund + Syndicate Model with Modest Capital for Early Stage Startup Investors. Invests $20K - $50K in go to market stage technology startups
Graham Carney,GGV Capital,"B2B,Enterprise Software,Future of Work & Productivity,Legal Tech,No Code focus,SaaS",$500K to $100M,"Pre-seed,Seed,Series A,Series B,Series C,Taking it to IPO! 🎉",Yes,,,
Naftali Halberg,Ginossar Ventures,"B2B,SaaS,AI/ML,Cybersecurity",$100K - $600K,Seed,Most likely not but we do in select cases,,"US, Israel, Canada",
David Resnekov,Global Founders Capital,"AI/ML,B2B,B2C,E-commerce,DTC,Consumer,Fintech,InsurTech,Marketplace,SaaS",$250K - $5M,"Idea/first check,Pre-seed,Seed,Series A,Series B",Yes,3,,
Diana Yao,Gopher Asset Management,"SaaS,Adtech,B2B,B2C,Beauty & wellness,Consumer,Digital Health,DTC,E-commerce,FemTech,Edtech,Fintech,Future of Work & Productivity,InsurTech,Marketplace",$1-5M,"Series A,Series B,Series C,Taking it to IPO! 🎉",Most likely not but we do in select cases,,,
Alaina Hartley,Greycroft,"Wellness,B2C,Beauty,Beauty & wellness,CleanTech,Consumer,E-commerce,Fintech,Future of Work & Productivity,Marketplace,Real Estate & Hospitality,Supply Chain,Retail Tech,SaaS",$500K-$50MM,"Seed,Series A,Series B,Series C,Taking it to IPO! 🎉",Yes,,,I respond to every email - but please give me ~5 business days to respond. Thank you!
Ashish Aggatwal,Grishin Robotics VC,"B2C,E-commerce,DTC,Consumer,Edtech,Foodtech,Gaming,Marketplace,SaaS",$1M - $5M,"Seed,Series A",Yes,3,,Invest in post-product companies.
Alexa Payton,Growth Warrior Capital,"AI/ML,Fintech,Future of Work & Productivity",$1-1.5M,"Seed,Series A",No,,US,"Growth Warrior Capital invests in experienced diverse and female founders, at seed and series A, building equitable solutions in AI/ML, fintech, and future of work."
Tess Manning,GSV Ventures,"Edtech,Future of Work & Productivity","$250,000-10M","Pre-seed,Seed,Series A",Yes,,,
Mujtaba Wani,GSV Ventures,"B2B,B2C,Edtech",$100K - $15M,"Idea/first check,Pre-seed,Seed,Series A",Yes,,,GSV Ventures is an early-stage fund focused on learning and talent tech
Vignesh Rajendran,GSV Ventures,Edtech,"Seed, Series A","Idea/first check,Pre-seed,Seed,Series A",Yes,,,
Molly Rowe,GSV Ventures ,"Edtech,Future of Work & Productivity",$250K - $15M,"Pre-seed,Seed,Series A",Yes,,,
James Gettinger,Gutter Capital,"B2B,AI/ML,Enterprise Software,Generalist,Marketplace",500k-2M,"Pre-seed,Seed",Yes,1 core position,,
Colleen Wong,GVC Partners,Social impact,$50K - $150K,"Pre-seed,Seed",,0,,Please include your deck when reaching out.
Sam Parr/Joe Speiser,Hampton VC: https://angel.co/hampton/syndicate?,"Adtech,B2B,B2C,Blockchain & Crypto,Cybersecurity,SaaS,Marketplace,growth tech,Enterprise Software,DTC,E-commerce,Consumer",$150k - $1M,"Pre-seed,Seed,Series A,Series B",Most likely not but we do in select cases,,U.S. ,
Gabby Cazeau,Harlem Capital,"B2B,B2C,E-commerce,Enterprise Software,FemTech,SaaS,Future of Work & Productivity,Fintech",$500k-$1mm,Seed,Yes,,,
Ginger Rothrock,HG Ventures ,"CleanTech,Hard Tech & Manufacturing",$1 - $10M,"Series A,Series B,Series C",Yes,2,,
Ankesh Madan,Hitachi Ventures,"All deep tech!,AI/ML,Agritech,B2B,Cybersecurity,Digital Health,Hard Tech & Manufacturing,SaaS",1000000 - 7000000,"Series A,Series B,Series C","We lead rounds where we feel we are the best partner at the table and can add the most value to the company,but equally happy to co-invest alongside qualified leads",2,,
Jonathan Sun,Horizan VC,"Adtech,Agritech,AI/ML,All deep tech!,AR/VR,B2B,B2C,Beauty,Beauty & wellness,CleanTech,Consumer,Cybersecurity,Digital Health,Digital health,Generalist,DTC,E-commerce,Edtech,Enterprise Software,etc.,FemTech,Fintech,Foodtech,Future of Work & Productivity,Gaming,growth tech,Growthtech,Industry Agnostic,InsurTech,Legal Tech,Love crazy ideas,Marketplace,Martech,We work with people without college degrees! Let me know if you have one or not :),Wellness,Transport,Supply Chain,Social Impact,SaaS,Retail Tech,Real Estate & Hospitality,No code,Mental Health,MedTech & Healthcare,Media","10,000-35,000 GBP","Idea/first check,Pre-seed",Yes,0,"UK, EU","for more info, check http://www.horizan.vc"
Hussein Kanji,Hoxton Ventures,"All deep tech!,Digital health,Enterprise Software,Love crazy ideas,SaaS",$500k - $5m,"Seed,Pre-seed",Yes,,,
Elizabeth Yin,Hustle Fund,"AI/ML,B2B,Digital Health,Digital health,Fintech,SaaS",$25k,Pre-seed,Yes,15%,,I will ask you to apply at Hustlefund.vc 
Allison Weil,Hyde Park Venture Partners,"B2B,B2C,Enterprise Software,Generalist,Marketplace",$250k - $3M,"Seed,Series A,Pre-seed",Yes,,"Only invest in the Midwest, Toronto, and Atlanta geos. ",
Ravi Shah,IA Capital Group,"Fintech,InsurTech",$2 - $5M,"Series A,Series B,Series C",Yes,,,
Brad Gillespie,IA Ventures,"AI/ML,B2B,Blockchain & Crypto,Cybersecurity,Deep tech,Fintech,SaaS,InsurTech,Enterprise Software,Generalist,Other,Digital Health,Marketplace,No code",$1-$3m,Pre-seed,"Yes,but equally happy to co-invest alongside qualified leads,Will also explore participatory if necessary",4,,a bit more about me: http://j.mp/InvestmentPhilosophy 
Anagha Hanumante,igniteXL Ventures,"E-commerce,DTC,Consumer,FemTech,Beauty & wellness,mental health,etc.",$100K - $200K,"Pre-seed,Seed",,,,
Katherine Wilson,Illuminate Financial ,"AI/ML,B2B,Enterprise Software,Fintech,SaaS",$500K - $4M,"Seed,Series A",,,,We only invest in companies who are trying to sell their solution into the financial services sector. You can learn more about our mandate here: https://medium.com/illuminate-financial/read-before-pitching-d3f23b2a1d8?source=friends_link&sk=5aec3ffeb6ea16ca4e9b114e8ff84425
Muneeb Ahmed,Impression Ventures,"AI/ML,B2B,B2C,Fintech,InsurTech,Real Estate & Hospitality,SaaS",$1 - 3M,"Seed,Series A",Yes,5,,We are a Fintech only focused VC firm that leads Seed/Early Series A rounds with cheques ranging between $1-3M 
Chenny Zhang,In-Q-Tel,"Aerospace,All deep tech!,AI/ML,B2B,AR/VR,BioTech,CleanTech,Deep tech,Digital Health,Enterprise Software,SaaS","250,000-1,000,000","Seed,Series A,Series B",Most likely not but we do in select cases,14,North America,
Del Johnson,Indie.vc/Backstage Capital/Kauffman Foundation/Angel,"We work with people without college degrees! Let me know if you have one or not :),Adtech,AI/ML,AR/VR,B2B,B2C,Beauty,Beauty & wellness,CleanTech,Consumer,Digital Health,DTC,Edtech,Cybersecurity,Enterprise Software,etc.,FemTech,Fintech,Foodtech,Future of Work & Productivity,Gaming,Generalist,Hard Tech & Manufacturing,Industry Agnostic,Legal Tech,Love crazy ideas,Marketplace,Legaltech,Other,Social Impact,Transport,Mental Health,Media,Martech",25k-$1million,"Idea/first check,Pre-seed,Seed",Yes,100%,,"I wrote the ""book"" on banning warm introductions: https://blog.usejournal.com/ban-warm-introductions-1e69169d57ba"
Alex Kopelyan,IndieBio (SOSV),"Agritech,BioTech,CleanTech,Deep tech,Digital Health,Foodtech,Sustainable Materials,MedTech & Healthcare,FemTech,Love crazy ideas,Mental Health","250,000","Pre-seed,Idea/first check",Accelerator,"Don't know the number, but a good percent of our 150 investments",,"We invest in cohorts, up to 15 companies roughly twice per year. We do investments beyond the accelerator into seed, A, and beyond. However that is only for accelerator alum."
Joshua Schlisserman,Individual,"AI/ML,B2B,B2C,E-commerce,DTC,Consumer,Enterprise Software,Fintech,Future of Work & Productivity,Gaming,InsurTech,Marketplace,SaaS",Varies,"Pre-seed,Seed",,,,
Jay Kurahashi-Sofue,Individual,"Adtech,BioTech,MedTech & Healthcare,Blockchain & Crypto,CleanTech,Cybersecurity,E-commerce,DTC,Consumer,Enterprise Software,FemTech,Fintech,Foodtech,Future of Work & Productivity,Gaming,Hard Tech & Manufacturing,InsurTech,Marketplace,Media,Real Estate & Hospitality,SaaS,Transport","$5,000 - $100,000","Idea/first check,Pre-seed,Seed",,0,,https://www.linkedin.com/in/jayksofue/
Lauren Di Martino,Individual,"Aerospace,AI/ML,BioTech,MedTech & Healthcare,CleanTech,Cybersecurity,FemTech,Foodtech,Renewable Energy,Sustainable Materials","$50,000-150,000","Seed,Series A",,,,
Jennifer Pattee,Individual,"Beauty,Wellness,Digital Health,FemTech,Fintech,Future of Work & Productivity,Marketplace,Mental Health,No Code focus,Real Estate & Hospitality,Renewable Energy,Sustainable Materials,Social Impact",$5K - $10K,Pre-seed,No,0,,Opening my fund January 2021.
Kriti Lall,Individual,"BioTech,MedTech & Healthcare",Any,"Idea/first check,Pre-seed,Seed,Series A",No,1,,
Nicole Velho,Individual,"AI/ML,B2B,B2C,BioTech,MedTech & Healthcare,Blockchain & Crypto,CleanTech,Cybersecurity,E-commerce,DTC,Consumer,Edtech,Enterprise Software,FemTech,Fintech,Foodtech,Future of Work & Productivity,Gaming,InsurTech,Marketplace,Media,SaaS",£10K - £20K,"Idea/first check,Pre-seed,Seed",,1,,Please feel free to email me for a 30 minute chat.
Jason Hunt,Individual,"AI/ML,B2B,B2C,Cybersecurity,Digital Health,Edtech,Enterprise Software,FemTech,Fintech,Future of Work & Productivity,Gaming,Growthtech,InsurTech,Marketplace,Mental Health,No Code focus,SaaS","$50,000","Idea/first check,Pre-seed,Seed",No,6,,"Former founder and angel investor based in NYC.  I typically write $50K checks, and look to invest in startups that put company culture first.  Done right, I think culture aligns the team on the most important things (product, hiring, decision-making).  Software only, but otherwise a generalist pre-seed and seed stage investor. "
Alex Halliday,Individual,"B2B,E-commerce,DTC,Consumer,Enterprise Software,Future of Work & Productivity,SaaS,No code,growth tech",$25K - $500K,"Idea/first check,Pre-seed,Seed,Series A",,0,,
Nimay Parekh,Individual,"Adtech,B2B,Enterprise Software,Fintech,SaaS",$15K - $25K,"Idea/first check,Pre-seed",No,,,
Angela Santurbano,Individual,"B2B,B2C,Enterprise Software,Consumer,Marketplace,Real Estate & Hospitality,Legal Tech,InsurTech,SaaS,Supply Chain,Future of Work & Productivity",$5-25k,"Pre-seed,Seed",No,2,,
George John,Individual,"Agritech,AI/ML,CleanTech,Deep tech,Digital Health,Edtech,Fintech,Foodtech,Future of Work & Productivity,Hard Tech & Manufacturing",$50k,"Idea/first check,Pre-seed,Seed,Series A",No,4,,"I invest in companies developing AI & robotics for humanity.  ""All watched o'er by machines of loving grace.""  Portfolio includes Afresh, Farmwise, TeachFX, Mytonomy, Everest Labs, Root.ai, Kinetic Eye, Vincere Health, Workfusion, Blue J Legal.  "
Shivam Parikh,Individual,"Adtech,AI/ML,All deep tech!,Aerospace,We work with people without college degrees! Let me know if you have one or not :),B2B,Blockchain & Crypto,CleanTech,Cybersecurity,Digital Health,Digital health,Wellness,BioTech,Deep tech,AR/VR,Agritech,Fintech,Industry Agnostic,Love crazy ideas,Retail Tech",$0-$50k,"Idea/first check,Pre-seed,Seed",No,0,,Open to all ideas. Mainly focused in technology. 
Ilesh Shah,Individual,"All deep tech!,B2B,Blockchain & Crypto,CleanTech,Love crazy ideas,Materials,MedTech & Healthcare,SaaS",50000,"Pre-seed,Seed","Yes,but equally happy to co-invest alongside qualified leads",2,,
Terrance Orr,Individual,"B2B,Enterprise Software,Marketplace,Transport,Supply Chain,SaaS,Future of Work & Productivity",2-10K,"Idea/first check,Pre-seed,Seed","No,I help founders find leads.",,"Open, mostly US ",
Shiva Kintali,Individual,"Industry Agnostic,AI/ML,B2B,B2C,BioTech,Blockchain & Crypto,CleanTech,Cybersecurity,Digital Health,E-commerce,Edtech,Love crazy ideas,Marketplace,Mental Health,Renewable Energy,SaaS,Social Impact,Sustainable Materials,Wellness",25K - 100K,"Idea/first check,Pre-seed,Seed",No,3,,
Olivia Cohen,Individual,"Adtech,B2B,All deep tech!,Beauty & wellness,BioTech,Blockchain & Crypto,FemTech,Future of Work & Productivity,Gaming,DTC,Enterprise Software,E-commerce,Fintech,Foodtech,SaaS,Real Estate & Hospitality,Digital Health,Supply Chain","$5,000 to $50,000","Idea/first check,Pre-seed,Seed",No,,,"I have 8 years of experience in brand strategy and full funnel marketing across industries, particularly deep tech, CPG, health and wellness, travel, sustainability, crypto, and B2B solutions. Feel free to reach out for a 30 minute intro call. https://www.linkedin.com/in/oliviajaynecohen/"
Rachel Horowitz,individual,"Aerospace,B2B,B2C,BioTech,MedTech & Healthcare,E-commerce,DTC,Consumer,Edtech,FemTech,Foodtech,Future of Work & Productivity,Marketplace,Media,Real Estate & Hospitality,SaaS,Transport",~$10K ,"Idea/first check,Pre-seed",,0,,"I have 7 years of BD + Partnerships experience in the consumer space at brands like Plated, M. Gemi and Zola.  I love connecting with early stage startups where I can leverage my experience to help with GTM and distribution strategy. "
Ahmed Aqeel,individual,"Adtech,AI/ML,B2B,Digital Health,E-commerce,DTC,Consumer,Edtech,Enterprise Software,Future of Work & Productivity,Gaming,Growthtech,Hard Tech & Manufacturing,InsurTech,Legaltech,Media,No Code focus,Real Estate & Hospitality,SaaS,AR/VR",$10 - $50K,"Idea/first check,Pre-seed,Seed,Series A",No,4,,
Janine Sickmeyer,individual,"B2B,FemTech,Fintech,SaaS",$25K - $50K,"Idea/first check,Pre-seed",,3,,
Ben Tomaszewski ,Individual ,"Adtech,AI/ML,B2B,BioTech,MedTech & Healthcare,Enterprise Software,Future of Work & Productivity,Marketplace,Media,SaaS",<$25K ,"Idea/first check,Pre-seed",,4,,Here’s who I’m looking to invest in: https://docs.google.com/document/d/1nlQdu06gnu2bnaz96MuTqSxzIl8WiQrqgP2g1t8MbW0/edit
Chris Corcoran,Individual / 200ok.VC,"AI/ML,B2B,Enterprise Software,No code,No Code focus,Fintech,Future of Work & Productivity,Love crazy ideas",10000,"Seed,Series A,Pre-seed,Idea/first check",No,,SF / NYC / Paris,"I’ve spent 10 years building developer products at Twilio and now at Algolia. I love APIs, developer experience and what’s possible when you give a builder the right tool. You can find me on Twitter at @chriscorcoran"
Victoria Rege,Individual and Air Street Capital,"Aerospace,Agritech,AI/ML,BioTech,MedTech & Healthcare,Edtech,Enterprise Software,FemTech,Fintech,Foodtech,Future of Work & Productivity,Hard Tech & Manufacturing,SaaS",individual up to $30K,"Pre-seed,Seed",,1,,
Jon Hook,Individual and fund (BoomBit),Gaming,0 - $2M,"Idea/first check,Pre-seed,Seed,Series A",,10,,"We are interested in all gaming startups - specific focus on mobile gaming, marketplaces, enabling tech aswell as E-sports and cloud gaming "
Ahmad Abualsamid,Individual Angel,"B2B,Agritech,B2C,CleanTech,Digital Health,Edtech,Social Impact","$1000 to $50,000",Seed,No,3,,Invest in geeks obsessed with impactful problems
Virginie Raphael,Individual Angel,"Agritech,B2B,B2C,Digital Health,Transport,CleanTech,FemTech,Foodtech,Future of Work & Productivity,Mental Health,Renewable Energy,Supply Chain,Wellness",10000,"Idea/first check,Pre-seed,Seed",No,0,,
Dan Carroll,Individual Angel,Edtech,$5-25k,"Idea/first check,Pre-seed,Seed",I help founders find leads.,,,Focused on K-12 edtech. More likely to help make connections than write a check.
IESH SHAH,Individual Angel,"B2B,CleanTech,BioTech,Marketplace,Renewable Energy,SaaS,Social Impact",$50000,"Pre-seed,Series A","Flexible between lead,Most likely not but we do in select cases,but equally happy to co-invest alongside qualified leads",2,,Future Focused. Disruptive Offering. Contrarian. Ethical.
Paul Sri,Individual Angel,"AI/ML,All deep tech!,AR/VR,B2B,B2C,Beauty,Blockchain & Crypto,E-commerce,Future of Work & Productivity,growth tech,SaaS",$10-$25K,"Idea/first check,Pre-seed",I help founders find leads.,0,,"Put ""No-Warm-Intro-Needed"" in subject please"
Oliver Dean,Individual Angel,"AI/ML,MedTech & Healthcare,Fintech,B2B,BioTech,B2C,Digital Health",$10-50K,"Pre-seed,Seed","No,Most likely not but we do in select cases",3,,
Dishen Patel,Individual Angel,"B2B,B2C,Gaming,We work with people without college degrees! Let me know if you have one or not :),Social Impact,Real Estate & Hospitality,Enterprise Software,Future of Work & Productivity,All deep tech!,SaaS,Retail Tech,Love crazy ideas,Industry Agnostic,Generalist,Mental Health",50k-100k,"Idea/first check,Seed","Yes,but equally happy to co-invest alongside qualified leads,I help founders find leads.",1,,I love crazy ideas and creative founders that are trying to change the norm around! Pitch me.
Vazgen Nikolian,Individual Angel,"B2B,Fintech,Gaming,No code",50000$,"Seed,Series A,Pre-seed",No,,"Kyiv, Ukraine",
Rudra Peram,Individual Angel,"AI/ML,B2B,B2C,Consumer,Cybersecurity,Digital Health,Edtech,Enterprise Software,Fintech,No code,SaaS",$5K - $10K,"Seed,Series A",No,,,
Sab,Individual Angel,"All deep tech!,BioTech,Cybersecurity,Deep tech,Digital Health,Fintech,MedTech & Healthcare,Mental Health,SaaS,Sustainable Material,Agritech,Aerospace,AR/VR,AI/ML,CleanTech",10000 - 150000,"Pre-seed,Seed,Series A",Most likely not but we do in select cases,Two,"US, India",
Rachel Dowling,Individual Angel,"AI/ML,B2B,Social impact,SaaS,Future of Work & Productivity,Love crazy ideas",$5k - $25k,"Idea/first check,Pre-seed,Seed",No,,,Especially support women and under-represented founders
Grace Chen,Individual Angel,"B2C,Real Estate & Hospitality,AI/ML,B2B",$3-10k,"Pre-seed,Idea/first check,Series A",No,,,
Sam Patel,Individual Angel,"All deep tech!,AR/VR,CleanTech,Social Impact",100000,"Pre-seed,Seed",Will also explore participatory if necessary,1,"India, USA, Europe",
Abobus Amogus,Individual Angel,Adtech,10,"Pre-seed,Series A",Most likely not but we do in select cases,0,a,a
Yuras,Individual Angel,"AI/ML,Edtech,Growthtech,Future of Work & Productivity,MedTech & Healthcare,Real Estate & Hospitality,Social Impact",10000$-150000$,"Idea/first check,Seed,Series A",We lead rounds where we feel we are the best partner at the table and can add the most value to the company,,"Europe, UK",
Claire Diaz-Ortiz,"Individual Angel, VC at Magma Partners","Adtech,B2B,B2C,E-commerce,DTC,Consumer,Edtech,FemTech,Fintech,Future of Work & Productivity,Marketplace,Media,SaaS","< $10,000",Pre-seed,,,,"You rock, founders!"
Deepali Nangia,"Individual, Atomico Angel","B2B,Digital health,FemTech,Fintech,Future of Work & Productivity",$5-$50k,Pre-seed,No,1,,I only fund female founders/mixed teams
Saloni Bhojwani,"Individual, Founders Factory","B2B,B2C,BioTech,MedTech & Healthcare,E-commerce,DTC,Consumer,Enterprise Software,FemTech,Foodtech,Marketplace,SaaS",$5K - $30K,"Pre-seed,Seed",,5,,
Jacobo Cucalon,Inkef Capital,"AI/ML,All deep tech!,B2B,E-commerce,Digital Health,Enterprise Software,Fintech,Future of Work & Productivity,MedTech & Healthcare",1-15M,"Seed,Series A,Series B","Yes,Will also explore participatory if necessary",,Europe,
Alex Samoylenko,Insta Ventures,"Adtech,AI/ML,B2B,Cybersecurity,DTC,Digital health,E-commerce,Edtech,Enterprise Software,Foodtech,Future of Work & Productivity,Digital Health,Industry Agnostic,Marketplace,Martech,MedTech & Healthcare,No code,SaaS",100K-300K,"Seed,Series A",No,2,CEE,"I read all emails, sorry if I haven't answered"
